chapter,pos_tag,count,percentage
96,NOUN,362,66.3
96,NUM,4,0.73
96,PRON,11,2.01
96,PROPN,12,2.2
96,SCONJ,12,2.2
96,VERB,106,19.41
97,ADJ,9,3.96
97,ADV,4,1.76
97,AUX,2,0.88
97,NOUN,165,72.69
97,SCONJ,3,1.32
97,VERB,44,19.38
98,ADJ,4,1.19
98,ADP,1,0.3
98,ADV,9,2.69
98,AUX,4,1.19
98,DET,3,0.9
98,NOUN,232,69.25
98,NUM,3,0.9
98,PRON,4,1.19
98,PROPN,4,1.19
98,SCONJ,5,1.49
98,VERB,66,19.7
99,ADJ,6,1.31
99,ADP,10,2.18
99,ADV,11,2.4
99,AUX,6,1.31
99,CCONJ,1,0.22
99,DET,2,0.44
99,NOUN,290,63.18
99,NUM,2,0.44
99,PRON,2,0.44
99,PROPN,20,4.36
99,SCONJ,2,0.44
99,VERB,107,23.31
100,ADJ,10,3.22
100,ADV,8,2.57
100,AUX,2,0.64
100,DET,1,0.32
100,NOUN,226,72.67
100,NUM,2,0.64
100,PROPN,1,0.32
100,SCONJ,1,0.32
100,VERB,60,19.29
101,ADJ,8,2.46
101,ADP,2,0.62
101,ADV,11,3.38
101,AUX,4,1.23
101,DET,1,0.31
101,NOUN,214,65.85
101,PRON,3,0.92
101,SCONJ,4,1.23
101,VERB,78,24.0
102,ADJ,6,0.71
102,ADP,2,0.24
102,ADV,17,2.0
102,AUX,5,0.59
102,CCONJ,7,0.82
102,DET,9,1.06
102,NOUN,612,72.08
102,NUM,14,1.65
102,PART,1,0.12
102,PRON,3,0.35
102,PROPN,19,2.24
102,SCONJ,7,0.82
102,VERB,147,17.31
103,ADJ,2,0.47
103,ADP,4,0.94
103,ADV,5,1.18
103,AUX,5,1.18
103,DET,8,1.89
103,NOUN,316,74.53
103,PRON,5,1.18
103,SCONJ,4,0.94
103,VERB,75,17.69
104,ADJ,7,1.52
104,ADV,4,0.87
104,AUX,6,1.3
104,CCONJ,2,0.43
104,NOUN,362,78.35
